device_id,discourse_flow_stage,anchor_term,rhetorical_habitat,habitat_group,sentence
K203744,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The client software is designed to run on standard personal and business computers and on monitors/screens that meet appropriate technical specifications for image diagnosis.
K203744,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The client software is designed to run on standard personal and business computers and on monitors/screens that meet appropriate technical specifications for image diagnosis.
K203744,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"The software verification and validation activities were performed as per IEC 62304:2006/AC:2015- Medical device software – Software life cycle processes and ISO 14971:2019 Medical devices -- Application of risk management to medical devices, in addition to the FDA Guidance documents Guidance for the Content of Premarket Submissions for Software Contained in Medical Devices and Content of Premarket Submission for Management of Cybersecurity in Medical Devices."
K202280,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Rather, it represents a more robust semiautomatic software intended to enhance the performance of time-intensive, potentially error-prone, manual tasks, thereby improving efficiency for medical professionals in the assessment of coronary artery disease (CAD)."
K202280,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Performance Data Software verification and validation activities were performed in accordance with the standards identified in Table 5 below, in addition to the FDA Guidance documents, “Guidance for the Content of Premarket Submissions for Software Contained in Medical Devices” and “Content of Premarket Submission for Management of Cybersecurity in Medical Devices.” The software was considered as a “moderate” level of concern, since “a malfunction of, or a latent design flaw in, the Software Dev"
K202280,beta2_c_and_b,mitigation,governance_compliance,C_governance_compliance,"Performance Data Software verification and validation activities were performed in accordance with the standards identified in Table 5 below, in addition to the FDA Guidance documents, “Guidance for the Content of Premarket Submissions for Software Contained in Medical Devices” and “Content of Premarket Submission for Management of Cybersecurity in Medical Devices.” The software was considered as a “moderate” level of concern, since “a malfunction of, or a latent design flaw in, the Software Dev"
K202280,beta2_c_and_b,mitigation,governance_compliance,C_governance_compliance,"Cybersecurity requirements, risk analysis, and mitigation was addressed in accordance with FDA guidance, “Content of Premarket Submission for Management of Cybersecurity in Medical Devices”."
K202280,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Performance Data Software verification and validation activities were performed in accordance with the standards identified in Table 5 below, in addition to the FDA Guidance documents, “Guidance for the Content of Premarket Submissions for Software Contained in Medical Devices” and “Content of Premarket Submission for Management of Cybersecurity in Medical Devices.” The software was considered as a “moderate” level of concern, since “a malfunction of, or a latent design flaw in, the Software Dev"
K202280,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,Table 5: Standards applied to device development Standard Standard Developing FDA Recognition Designation Number Title of Standard Organization Number and Date Digital Imaging And PS 3.1-3.20 (2016) NEMA Communications In Medicine 12-300 (DICOM) Set Medical Device Software - Software 62304:2005/A1:2016 ANSI AAMI IEC Life Cycle Processes [Including 13-79 Amendment 1 (2016)] Medical Devices - Application Of 14971 Third Edition ISO Risk Management To Medical 5-125 2019-12 Devices Medical Devices - 
K191647,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Traditional 510(k) QLAB Advanced Quantification Software Modifications 7) Determination of Substantial Equivalence Non-clinical performance data The QLAB 13.0 modifications were tested in accordance with Philips internal processes.
K191647,beta2_c_and_b,performance,model_optimization,B_model_optimization,Design Control activities to assure the safe and effective performance of the modified QApps included but not limited to the following: • Requirements Review • Design Review • Risk Management • Software Verification and Validation Non-clinical V&V testing also included the Machine Learning Algorithm Training and the subsequent Validation Study performed for the proposed 3D Auto RV clinical applications.
K191647,beta2_c_and_b,risk_management,model_optimization,B_model_optimization,Design Control activities to assure the safe and effective performance of the modified QApps included but not limited to the following: • Requirements Review • Design Review • Risk Management • Software Verification and Validation Non-clinical V&V testing also included the Machine Learning Algorithm Training and the subsequent Validation Study performed for the proposed 3D Auto RV clinical applications.
K243449,beta2_c_and_b,bias,ai_fairness_label_section,A_limitation_epistemic,Performed Artificial None Intelligence (AI)/ Machine Learning (ML) Model Population AI/ML Model None Bias/Limitation Considerations 5.
K243449,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Performance Testing Summary of Testing Software Verification and Validation (V&V) Testing: • Comprehensive validation and verification (V&V) testing were performed on the INFINITT DPS to confirm functionality, reliability, and compliance with intended performance requirements."
K243449,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Non-Clinical Bench Performance Testing: The performance of the INFINITT DPS was validated through a series of non-clinical bench performance tests following the FDA guidance document, Technical Performance Assessment of Digital Pathology Whole Slide Imaging Devices (April 20, 2016)."
K243449,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"• Static Analysis (SAST) involved a thorough review of the source code, identifying and mitigating low-level vulnerabilities to ensure secure coding practices were followed throughout the software."
K243449,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"Identified vulnerabilities were addressed with specific mitigations, and ongoing monitoring protocols were established."
K243449,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Identified vulnerabilities were addressed with specific mitigations, and ongoing monitoring protocols were established."
K243449,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,attached to local network and uses their proprietary viewer the color profile to render the image (NZViewMD software) and data to the calibrated display INFINITT uses its INFINITT monitor to deliver the image view at DPS proprietary viewer.
K182310,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data The Volpara software has been verified and validated according to the company’s design control process.
K182310,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"The modified device was tested and determined to be compliant to the following standards: ISO 14971:2012 Medical devices – Application of risk management to medical devices; ISO 62304-2006 Software Life Cycle Processes, DICOM 2015."
K182310,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Risk management is ensured via a risk analysis, which is used to identify potential hazards."
K241923,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,"In addition, the results of the subgroup analysis, which included different genders, age groups, race or ethnicity groups, CT manufacturer groups, and CT slice thickness groups, demonstrated that EFAI MLSCT consistently performed high performance, underscoring its reliability and effectiveness across diverse subgroups."
K241923,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data Performance of the EFAI MLSCT has been evaluated and verified in accordance with software specifications and applicable performance standards through software verification and validation testing.
K241923,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Additionally, the software validation activities were performed in accordance with IEC 62304:2006/A1:2016 - Medical device software – Software life cycle processes, in addition to the FDA Guidance documents, “Content of Premarket Submissions for Device Software Functions” and “Cybersecurity in Medical Devices: Quality System Considerations and Content of Premarket Submissions.” Ever Fortune.AI conducted a retrospective, blinded, multisite clinical validation study with the proposed device EFAI M"
K241923,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"Thus, the proposed device does not raise new questions of safety or efficacy, as the risks and technology used by both devices are the same and are mitigated similarly."
K241923,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,The device has been designed to meet the requirements associated with ISO 14971:2019 Medical devices — Application of risk management to medical devices.
K243547,beta2_c_and_b,bias,technical_statistical_bias,D_technical_depoliticized,acceleration factors and protocol parameters Bland-Altman analysis of image intensities Comparing the ROI signal acquired using intensities between images fully sampled and acquired with fully Image ACS was shown sampled and ACS images Pass Contrast with less than 1% under the same bias and all acceleration factors with sample points different TI values falls in the 95% confidence interval.
K243547,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,No clinical subgroups and confounders have been defined for the datasets.
K243547,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,No clinical subgroups and confounders had been defined for the datasets.
K243547,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Performance Date The following testing was conducted on uMR Ultra and were provided in support of the substantial determination.
K243547,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Non-Clinical Testing Non-clinical testing including image performance tests were conducted for uMR Ultra to verify that the proposed device met all design specifications as it is Substantially Equivalent (SE) to the predicate device.
K243547,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory," ImageGuard In clinical magnetic resonance imaging (MRI) scans, patient movement can produce artifacts in the image; ImageGuard is a workflow function, which is expected for automatic monitoring of MR images for motion artifacts and providing real-time prompts to assist technicians in image quality control."
K243547,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Clinical Subgroups: ImageGuard is a workflow function, which is expected for automatic monitoring of MR images for motion artifacts and providing real-time prompts to assist technicians in image quality control."
K243547,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance," Use of International Standard ISO 10993-1, ""Biological evaluation of medical devices - Part 1: Evaluation and testing within a risk management process"" Other Standards and Guidance  ISO 14971: 2019, Edition 3.0, Medical Devices – Application of risk management to medical devices  Code of Federal Regulations, Title 21, Part 820 - Quality System Regulation  Code of Federal Regulations, Title 21, Subchapter J - Radiological Health Performance Verification Non-clinical testing was conducted to "
K252504,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,"Modifications to the Gastric Alimetry Report: - Addition of grouping symptoms into subgroups, including an overall symptom score per subgroup."
K252504,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,- Addition of subgroup scores in the ‘Gut-Brain Wellbeing’ page.
K252504,beta2_c_and_b,performance,model_optimization,B_model_optimization,"The device is mostly unchanged compared to the previously cleared Gastric Alimetry System, apart for the following modifications: Modifications to the Gastric Alimetry Algorithm: - Replacement of the existing signal noise filter with a convolutional neural network (CNN) and additional updates to the processing pipeline of the algorithm to improve performance."
K252504,beta2_c_and_b,performance,model_optimization,B_model_optimization,"The fundamental function of recording, storing, viewing, and processing gastric myoelectrical activity remains unchanged, and the general content of the generated reports is similar, with minor modifications: \\4148-9966-9071 v1 K252504 Page 3 of 9 • Changes to the signal processing pipeline: Replacement of the existing signal noise filter with a convolutional neural network (CNN), increasing the threshold for determining where artifacts were corrected or removed and additional updates to the pr"
K252504,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,System Checks Impedance monitor and Impedance monitor and Same as the connectivity check connectivity check predicate.
K232856,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Clinical Testing No clinical studies were carried out for the product, all performance testing was conducted in a non-clinical fashion as part of verification and validation activities of the medical device 11."
K232856,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,These design mitigations were validated by non-Clinical performance testing and were found acceptable.
K232856,beta2_c_and_b,mitigation,mixed_limitation_optimization,A_limitation_epistemic,"Bench Testing Evaluation Summary Lesion Quantification: The results of phantom and reader studies conducted on the Lesion Quantification Algorithm, in the predicate device, were evaluated for fit for use in the subject device and it was concluded that the Algorithm can be integrated in the subject device with few design mitigations to overcome the drawbacks/limitations specified in these studies."
K232856,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,These design mitigations were validated by non-Clinical performance testing and were found acceptable.
K181352,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Bench Testing All test results demonstrate the performance of Spry Health Loop System met the requirements of its pre-defined acceptance criteria and intended use.
K181352,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,This testing was conducted in accordance with ISO 80601-2-61 Medical electrical equipment - Part 2-61: Particular requirements for basic safety and essential performance of pulse oximeter equipment and in accordance with the FDA Guidelines for Pulse Oximeters - Premarket Notification Submissions [510(k)s]: Guidance for Industry and Food and Drug Administration Staff (2013).
K181352,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Device Information Category Comments Sponsor: Spry Health, Inc 235 Alma St Palo Alto, CA 94301 Tel: (650) 352-3429 Primary Communicant Craig Coombs Coombs Medical Device Consulting 1193 Sherman Street Alameda, CA 94501 Tel: 510-337-0140 Device Common Name: Oximeter Breathing Frequency Monitor Device Classification Number: 21 CFR 870.2700 21 CFR 868.2375 Device Classification & Class 2, Product Code: DQA & BZQ Device Proprietary Name: Loop System Predicate Device Information: Predicate Device: Mi"
K181352,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,An accelerometer incorporated in the Loop Band determines when the patient is at rest by constantly monitoring the activity level of the patient.
K181352,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Biocompatibility Testing Biocompatibility testing was conducted in accordance with ISO 10993-1:2009/AC:2010, Biological evaluation of medical devices – Part 1: Evaluation and testing within a risk management process, and FDA’s guidance documents, Use of International Standard ISO 10993-1, “Biological evaluation of medical devices - Part 1: Evaluation and testing within a risk management process” issued June 16, 2016."
K233964,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"In addition, a labeling change is planned, to include the non-clinical performance data of the new software version and the instructions to visualize the output readings of the software new other function named Procedure Highlights."
K233964,beta2_c_and_b,performance,model_optimization,B_model_optimization,New software version ColonPRO™ 4.0 has improved detection performance resulting from the retraining of the neural network.
K233964,beta2_c_and_b,mitigation,governance_compliance,C_governance_compliance,"• Risk mitigation measures identified during Risk Management have been successfully verified or validated, as applicable."
K233964,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,GI Genius™ Module 100 and 200 are compatible with Video Processors featuring SDI (SMPTE 259M) or HDSDI (SMPTE 292M) output ports and endoscopic display monitors featuring SDI (SMPTE 259M) or HD-SDI (SMPTE 292M) input ports.
K233964,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The GI Genius system is connected between the video processor and the endoscopic display monitor.
K233964,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"• Risk mitigation measures identified during Risk Management have been successfully verified or validated, as applicable."
K223442,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Summary of Non- The proposed MR 5300 and MR 7700 R11 MR Systems are in Clinical compliance with the following international and FDA-recognized consensus standards: Performance Data: • IEC60601-1 Edition 3 • IEC60601-1-2 Edition 4 • IEC60601-1-6 Edition 3 • IEC62366-1 Edition 1 • IEC60601-1-8 Edition 2 • IEC60601-2-33 Edition 3 • IEC 62304 Edition 1 • NEMA MS-1 2008 • NEMA MS-4 2010 • NEMA MS-8 2008 • NEMA PS 3.1-PS 3.20 • ISO 14971 Edition 2 • Device specific guidance document, entitled “Guidanc"
K223442,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Additionally, substantial equivalence is demonstrated with non-clinical performance (verification and validation) tests, which complied with the Premarket Notification [510(k)] Submission S5 Philips Medical Systems Nederland B.V."
K223442,beta2_c_and_b,mitigation,governance_compliance,C_governance_compliance,"Additionally, the risk management activities show that all risks are sufficiently mitigated; that new risks that were identified are mitigated to an acceptable level; and that the overall residual risk is acceptable."
K223442,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Additional monitor as part of the operating console The supporting documentation provided for the proposed MR 5300 and MR 7700 R11 MR Systems, includes software and hardware modifications that are addressed in test reports for system level development project, Voyager R11.1."
K223442,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Summary of Non- The proposed MR 5300 and MR 7700 R11 MR Systems are in Clinical compliance with the following international and FDA-recognized consensus standards: Performance Data: • IEC60601-1 Edition 3 • IEC60601-1-2 Edition 4 • IEC60601-1-6 Edition 3 • IEC62366-1 Edition 1 • IEC60601-1-8 Edition 2 • IEC60601-2-33 Edition 3 • IEC 62304 Edition 1 • NEMA MS-1 2008 • NEMA MS-4 2010 • NEMA MS-8 2008 • NEMA PS 3.1-PS 3.20 • ISO 14971 Edition 2 • Device specific guidance document, entitled “Guidanc"
K223442,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Magnetic Resonance Imaging Special 510(k) Non-Clinical verification and or validation tests have been performed with regards to the intended use, the technical claims, the requirement specifications and the risk management results."
K161201,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Differences in the design and performance from the cited predicate devices do not affect either the safety or the effectiveness of ClearRead CT for its intended use.
K161201,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,The Risk Analysis was completed and risk control measures implemented to mitigate hazards.
K161068,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,• The Ahead 300 also provides clinicians with quantitative measures of cognitive performance to aid in the assessment of an individual’s level of cognitive function.
K161068,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"The Ahead 300 also incorporates functions performed by additional legally marketed predicate devices, including an overall assessment of functional brain injury utilizing EEG, and two wellaccepted cognitive performance tests."
K161068,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"� In addition, testing was performed as per the following performance standards: Ahead® 300 510(k) Summary 10 o IEC 60601-1/A1:2012 Medical Electrical Equipment - Part 1: General Requirements for Basic Safety and Essential Performance o IEC 60601-1-2/A1;2007 Medical electrical equipment - Section1.2 Collateral standard: Electromagnetic compatibility - Requirements and tests o IEC 60601-1-6/A1:2013 General Requirements For Basic Safety And Essential Performance - Collateral Standard: Usability o "
K181771,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Differences in the design and performance of the RightEye Vision System from EYE-SYNC do not affect either the safety or effectiveness of the RightEye Vision System for its intended use.
K181771,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Page 2 RightEye, LLC K181771 RightEye Vision System Validation testing, including test-retest reliability and accuracy, has confirmed the performance of the RightEye Vision System for its intended use."
K181771,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,Stimuli are Stimuli are presented to the user via a presented to the user via a monitor as the monitor as the projection surface to elicit projection surface to elicit involuntary eye involuntary eye movements.
K201841,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"None of the changes in technology raise new questions of safety or effectiveness, and comprehensive testing demonstrates that these changes do not adversely impact performance."
K201841,beta2_c_and_b,performance,model_optimization,B_model_optimization,"The technological characteristics important to device function as an aid in diagnosis of concussion are not changed; the eye tracking performance and proprietary EyeBOX algorithm, which processes the eye tracking data and outputs the BOX score, are not changed."
K201841,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The eye tracking task takes about 4 minutes to complete and involves watching a video move around the perimeter of an LCD monitor positioned in front of the patient while a high speed near-infrared (IR) camera records gaze positions 500 times per second.
K201841,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The eye tracking task takes about 4 minutes to complete and involves watching a video move around the perimeter of an LCD monitor positioned in front of the patient while a high speed near-infrared (IR) camera records gaze positions 500 times per second.
K203169,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,The performance and image quality specifications are substantially equivalent to the predicate.
K203169,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"3.1 and associated collateral and particular standards, IEC 61223-3-5, NEMA XR25, XR26, XR28, and 21 CFR Subchapter J performance standards."
K203169,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"The device output is a valuable medical tool for the diagnosis of disease, trauma, or abnormality and for planning, guiding, and monitoring therapy."
K203169,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"The device output is a valuable medical tool for the diagnosis of disease, trauma, or abnormality and for planning, guiding, and monitoring therapy."
K203169,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Risk Analysis: Potential electrical, mechanical, and radiation hazards are identified in risk management including hazard analysis and controlled by: - System verification and validation to ensure performance to specifications, Federal Regulations, and user requirements."
K203169,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"This includes risk management, software verification and validation testing as well as image quality and dose performance evaluation using well established metrics and methods."
K231837,beta2_c_and_b,performance,model_optimization,B_model_optimization,"The performance of the device’s AI algorithms were validated in a standalone RCD-42-009-2 P a g e | 1 Head office First Floor, Seacourt Tower, West Way Oxford OX2 0JJ, United Kingdom performance evaluation, utilizing and independent dataset than the one used for algorithm training, in which the case-level output from the device was compared with a reference standard (‘ground truth’)."
K231837,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"RCD-42-009-2 P a g e | 2 Head office First Floor, Seacourt Tower, West Way Oxford OX2 0JJ, United Kingdom 3 Performance Data The following performance data have been provided to support evaluation of substantial equivalence."
K231837,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,The device has been designed to meet the requirements associated with ISO 14971:2019 (risk management).
K240094,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,Results were analyzed using the median dependent on data distribution in the subgroup.
K240094,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,"We subsequently performed a more detailed subgroup analysis of the general T1cSF segmentation performance in all 4 categories (brain, skin, tumor, ventricles) according to gender, race/ethnicity, tumor type, scanner model, magnetic field strength, scan quality and institution."
K240094,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,8 6 Summary of Performance Testing ....................................................................................................................................
K240094,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"demonstrate that the VSI In addition, non-clinical Holomedicine should perform testing was performed to as intended in the specified evaluate the performance of use conditions."
K240094,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"The 95% HD, on the other hand, measures the distance between the boundaries of the predicted and actual segmentations, focusing on the worst-case errors while mitigating the impact of outliers."
K240094,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,"When accessing the LumiNE US software from a wireless Head-Mounted Display (HMD) or PC monitor, images viewed are for informational purposes only and not intended for diagnostic use."
K240094,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,"When accessing the LumiNE US software from a wireless Head-Mounted Display (HMD) or PC monitor, images viewed are for informational purposes only and not intended for diagnostic use."
K240094,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,8 Application of Standards The following standards are applicable to the LumiNE US software: • EN ISO 13485:2016/A11:2021 Medical devices - Quality management systems • ISO 14971:2019 Medical devices – Application of Risk Management to Medical Devices (Recognition number: 5-125) • EN 62304:2006+A1:2015 Medical Device software- Software Life-Cycle Processes (Recognition number: 13-79) LumiNE US software passed all testing.
