device_id,pattern_id,sentence
K233176,0,"Tel: +86 (21) 67076888 Fax：+86 (21) 67076889 www.united-imaging.com Unknown: 11 Age (10, 25]: 2 (25, 40]: 14 (40, 60]: 51 (60, 75]: 69 (75, 100]: 24 Ethnicity Asian(Chinese) data: 80 The United States data: 80  Performance Testing Summary For the testing dataset, the average score of the proposed device results to be validated is 5 points and greater than 4 points."
K233209,1,Testing data subgroup information Subgroup Details of Each Subgroup Sample Size Ethnicity U.S.
K233209,1,Subgroup performance test Ethnicity Average Score of All Test Dataset U.S.
K233209,1,Testing data subgroup information Subgroup Details of each subgroup Sample Size Ethnicity U.S.
K233247,0,"Demographic information Demographic Total (N = 600) Female 288 (48.0%) Gender Male 312 (52.0%) �65 years 263 (43.8%) Age >65 tears 337 (56.2%) Asian 26 (4.3%) Black or African American 35 (5.8%) White 496 (82.7%) Race Other 28 (4.7%) 2 or more races 3 (0.5%) Declined 4 (0.7%) Unavailable 8 (1.3%) Hispanic 58 (9.7%) Not Hispanic 526 (87.7%) Ethnicity Declined 2 (0.3%) Unavailable 14 (2.3%) Subgroup analysis Slice thickness Subgroup AUC (95% CI) Sensitivity (95% CI) Specificity (95% CI) < 2.5 mm 0.936 (0.910,0.958) 87.7 (82.9,92.0) 82.9 (77.6,87.6) 2.5 to 5 mm (inclusive) 0.974 (0.961,0.985) 89.1 (85.5,92.7) 95.0 (92.5,97.2) Gender Subgroup AUC (95% CI) Sensitivity (95% CI) Specificity (95% CI) Female 0.915 (0.878,0.947) 79.8 (72.3,86.6) 87.0 (81.7,91.7) Male 0.971 (0.954,0.984) 91.1 (86.7,9"
K233253,1,"K233253 Page 5 of 5 Subgroup analyses for race are presented in Table D, below, for deterioration."
K240058,2,"Further sub-analyses showed that there were no significant effects of age, sex, race/ethnicity, HbA1c, diabetic duration since diagnosis, lens status, positive ETDRS levels, or pharmacological dilation on sensitivity and specificity."
K240058,2,"Further sub-analyses showed that there were no significant effects of sex, race/ethnicity, HbA1c, diabetic duration since diagnosis, lens status, positive ETDRS levels, or pharmacological dilation on sensitivity and specificity."
K240094,1,"We subsequently performed a more detailed subgroup analysis of the general T1cSF segmentation performance in all 4 categories (brain, skin, tumor, ventricles) according to gender, race/ethnicity, tumor type, scanner model, magnetic field strength, scan quality and institution."
K240285,0,"Subgroup analysis on race showed the following performance: White: Sensitivity of 88.1% (95% CI: 79.2, 94.1) and Specificity of 83.7% (95% CI: 76.7, 89.3); Black: Sensitivity of 86.8% (95% CI: 71.9, 95.6) and Specificity of 96.4% (95% CI: 87.5, 99.6); and All Other Races: Sensitivity of 100% (95% CI: 47.8, 100) and Specificity of 90.9% (95% CI: 58.7, 99.8)."
K240353,2,"Subject Device K193658 Average time to 16.39 ± 5.46 seconds 0.49 ± 0.15 minutes notification (0.27 ± 0.091 minutes) As part of a secondary analysis, the company stratified the device performance by various confounding variables: Performance Stratified by Clinical Site Clinical Site Sensitivity [95% Cl] Specificity [95% Cl] 100.00 100.00 Clinical Site 1 [59.04, 100.00] [59.04, 100.00] Clinical Site 2 92.86 50.00 [66.13, 99.82] [1.26, 98.74] Clinical Site 3 100.00 - [2.50, 100.00] [-, -] Clinical Site 4 100.00 90.00 [15.81, 100.00] [55.50, 99.75] Clinical Site 5 100.00 94.12 [59.04, 100.00] [71.31, 99.85] Clinical Site 6 100.00 - [2.50, 100.00] [-, -] Clinical Site 7 100.00 100.00 [47.82, 100.00) [15.81, 100.00] Clinical Site 8 100.00 100.00 [2.50, 100.00] [2.50, 100.00] Clinical Site 9 100."
K240845,0,"Page 8/15 '•""Ji, AZ MED The results of the study demonstrated that Rayvolve detects fractures in radiographs with high level performances : AUC (Bootstrapped CI) All 0.9399 (0.9330; 0.9470) Rayvolve performance on all radiographs Anatomic Area AUC (Bootstrapped CI) Ankle 0.9489 (0.9257; 0.9694) Clavicle 0.9263 (0.8846; 0.9645) Elbow 0.9308 (0.8932; 0.9629) Foreram 0.936 (0.9012; 0.9666) Humerus 0.9568 (0.9268; 0.9818) Hip 0.947 (0.922; 0.9681) Knee 0.9624 (0.9472; 0.9756) Pelvis 0.9263 (0.8947; 0.9559) Shoulder 0.9372 (0.9037; 0.9664) Tibia/Fibula 0.9616 (0.9362; 0.9824) Wrist 0.9484 (0.9258; 0.9688) Hand 0.9485 (0.9306; 0.9654) Foot 0.9404 (0.9211; 0.9581) Rayvolve performances regarding the anatomic area of the study Page 9/15 '•""Ji, AZ MED Ethnicity AUC (Bootstrapped CI) 0.944 (0.9331; "
K241676,2,0.18) for PCT potentially indicating an impact of race on accuracy of PCT.
K241923,0,"In addition, the results of the subgroup analysis, which included different genders, age groups, race or ethnicity groups, CT manufacturer groups, and CT slice thickness groups, demonstrated that EFAI MLSCT consistently performed high performance, underscoring its reliability and effectiveness across diverse subgroups."
K242129,1,"The performance of VitalRhythm, when assessed using the independent test database, in terms of sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and accuracy is provided in the table below: K242129 page 11 of 11 Rhythm Sample size Observed performance Patient Dataset Sensitivity Specificity PPV NPV Accuracy Atrial fibrillation/ flutter 421 1512 99.9 99.9 99.8 99.9 99.9 AV block (2nd degree, Type I and II) 118 716 98.7 100.0 99.9 99.9 99.9 Paroxysmal supraventricular 689 1003 98.6 99.9 99.4 99.9 99.9 tachycardia Ventricular tachycardia/run 610 737 99.3 99.9 99.4 99.9 99.9 Pause 200 960 99.7 100.0 99.9 100.0 100.0 Others (inconclusive) 1547 1923 98.9 99.9 99.2 99.9 99.9 Sinus 3009 5906 99.8 99.9 99.8 99.9 99.8 Normal sinus rhythm 2394 4201 98.9 99.1 "
K242171,1,"● Reader Sensitivity significantly improved from 0.872 (95% CI: 0.789-0.940) to 0.983 (95% CI: 0.954-1.000): +12.7% increase of the Sensitivity - Page 14 of 17 - ● Reader Specificity improved from 0.738 (95% CI: 0.635-0.835) to 0.746 (95% CI: 0.645-0.845): +1.08% increase of the Specificity For pediatric fracture detection ● Reader ROC AUC significantly improved from 0.857 [0.810; 0.899] to 0.931 [0.892; 0.963], a delta of 0.074 [0.044; 0.104] (p<0.001) ● Reader Sensitivity significantly improved from 0.804 (95% CI: 0.747-0.864) to 0.964 (95% CI: 0.940-0.984): +19.9% increase of the Sensitivity ● Reader Specificity remained the same at 0.797 (95% CI: 0.700-0.873) to 0.797 (95% CI: 0.700-0.882): 0% increase of the Specificity For pediatric EJE detection ● Reader ROC AUC significantly improv"
K242342,0,"OT relationship 0.925) 0.996) 0.981) 0.995) 0.955 (0.876 ; 1.000 (0.993 ; 0.955 (0.876 ; 1.000 (0.993 ; Enlarged CTR 0.985) 1.000) 0.985) 1.000) 0.945 (0.851 ; 1.000 (0.993 ; 0.945 (0.851 ; 1.000 (0.993 ; Cardiac axis deviation 0.981) 1.000) 0.981) 1.000) 0.954 (0.914 ; 0.989 (0.977 ; 0.954 (0.914 ; 0.989 (0.977 ; PV/AV size discrepancy 0.975) 0.995) 0.975) 0.995) 0.950 (0.900 ; 1.000 (0.993 ; 0.950 (0.900 ; 1.000 (0.993 ; RV/LV size discrepancy 0.975) 1.000) 0.975) 1.000) TV/MV size 0.943 (0.896 ; 1.000 (0.993 ; 0.943 (0.896 ; 1.000 (0.993 ; discrepancy 0.970) 1.000) 0.970) 1.000) Stratified analysis by gestational age, by mother’s age, BMI and race, by ultrasound machine make and model and by image quality indicated that performance was consistent across subgroups."
K242342,0,"Stratified analysis by gestational age, by mother’s age, BMI and race, by ultrasound machine make and model, image quality, reader specialty, reader country of practice and for each suspicious finding indicated that performance was consistent across subgroups."
K242607,1,"Body Region Measurement MAE Vertebra Anterior Height [mm] 1.17 510(k) Summary ScanDiags AG Page 7 of 7 Middle Height [mm] 0.86 Posterior Height [mm] 0.79 Anterior Height [mm] 1.1 Intervertebral Disc Middle Height [mm] 1.19 Posterior Height [mm] 0.96 Anteroposterior Diameter [mm] 0.81 Thecal Sac Mediolateral Diameter [mm] 1.26 Bland Altman as well as subgroup analysis based on age, sex, ethnicity, body weight, body height, and MRI manufacturer, MR imaging parameters, underlying disease conditions, and clinical sites were also conducted with detailed results reported in the labeling."
K242683,1,"Metric (lesion level) Result AUC-ROC 0.732 (95% CI: 0.668-0.791) Sensitivity 0.677 (high suspicion marker) (95% CI: 0.593-0.761) False Positive Rate per Case 0.417 (high suspicion marker, any biopsy source) (95% CI: 0.313-0.522) Sensitivity 0.795 (high and moderate suspicion markers) (95% CI: 0.722-0.861) False Positive Rate per Case 0.855 (high and moderate suspicion markers, any (95% CI: 0.709-0.996) biopsy source) Additional subgroup analyses of patient age (≤65, >65), BMI (<25, ≥25), race/ethnicity, magnetic field (1.5T, 3T) and machine vendor (Siemens, Philips, GE) were performed."
K242821,0,"In addition, the results of the subgroup analysis, which included different genders, age groups, race or ethnicity groups, and X-ray manufacturer groups, demonstrated that EFAI ETTXR consistently performed high performance, underscoring its reliability and effectiveness across diverse subgroups."
K243363,2,"JLK-ICH ROC curve As part of a secondary analysis, the company stratified the performance of the device by various confounding variables: Performance Metrics Overview for Patients Categorized by Age Age Range N Sensitivity [95% CI] Specificity [95% CI] (Years) <50 74 0.94 [0.86, 1.00] 0.97 [0.91, 1.00] 50-70 146 0.95 [0.89, 1.00] 1.0 [1.00, 1.00] 70< 156 1.0 [1.00, 1.00] 0.96 [0.90, 1.00] Performance Metrics Overview for Patients Categorized by Gender Gender N Sensitivity [95% CI] Specificity [95% CI] Male 188 0.98 [0.95, 1.00] 0.97 [0.92, 1.00] Female 187 0.97 [0.92, 1.00] 0.99 [0.97, 1.00] Unknown 1 1.0 [1.00, 1.00] - Performance Metrics Overview for Patients Categorized by Race-Ethnicity Race-Ethnicity N Sensitivity [95% CI] Specificity [95% CI] Non-Hispanic White 263 0.99 [0.97, 1.00] "
K243547,0,"Tel: +86 (21) 67076888 Fax：+86 (21) 67076889 www.united-imaging.com [80, 90) 4 >=90 7 Ethnicity Asian 11 White 9 Black 5 Performance Testing Summary Subjective evaluation results of 25 volunteers: satisfied and acceptable ratio is 100%."
K243547,0,"Subjects' Characteristics Total(N=27) Gender Number Male 18 Female 9 Age <18 1 18-28 4 29-40 7 > 41 15 Protocol TIscout_sax 27 BMI (kg/m(2)) <18.5 1 [18.5, 25) 10 >=25 11 Unknown 5 Magnetic field strength (T) 1.5 18 3 9 Ethnicity Asian 19 White 8 Performance Testing Summary According to the subgroup analysis in the table below, it can be seen that the TI Scout algorithm performs as expected in different subgroups."
K243547,0,"Tel: +86 (21) 67076888 Fax：+86 (21) 67076889 www.united-imaging.com HCM 5 5 ARV 1 1 Ethnicity Asian 22 60 White 26 26 Black 8 9 Performance Testing Summary The error between the frame indexes calculated by the algorithm for the ED and ES of all test data and the gold standard frame index is 0.13 frames, which does not exceed 1 frame."
K243611,2,"Clinical Site) Clinical Site N Sensitivity [95% CI] Specificity [95% CI] Region 001 422 0.97 [0.93, 0.99] 0.99 [0.98, 1.00] Region 002 138 0.98 [0.94, 1.00] 0.9 [0.83, 0.96] Region 001: South – North Carolina, Texas, Florida, Georgia Region 002: Northeast – New York / Midwest – Missouri, Iowa, Wisconsin, Illinois, Ohio Performance Metrics Overview for Patients Categorized by Age Age Range N Sensitivity [95% CI] Specificity [95% CI] (Years) <50 84 0.94 [0.80, 1.00] 0.99 [0.95, 1.00] 50-70 220 0.96 [0.89, 1.00] 0.98 [0.95, 0.99] 70< 256 0.98 [0.95, 1.00] 0.97 [0.93, 0.99] Performance Metrics Overview for Patients Categorized by Gender Gender N Sensitivity [95% CI] Specificity [95% CI] Male 283 0.99 [0.97, 1.00] 0.96 [0.93, 0.98] Female 277 0.95 [0.89, 0.99] 0.99 [0.97, 1.00] Performance Metr"
K243614,0,"Sensitivity Specificity Gestational Fetal Anatomy Abnormal Finding Age Point Estimate Point Estimate (95% bootstrap CI) (95% bootstrap CI) Average 0.932 0.908 T1/T2/T3 Average Performance Performance (0.916, 0.946) (0.895, 0.920) 0.877 0.933 Malposition of the Great Vessels (0.840, 0.908) (0.905, 0.957) T2/T3 0.959 0.815 Absence or unusual size of at least one of the 3 vessels (0.926, 0.983) (0.759, 0.872) Chest Disequilibrium OR absence of at least one of the two 0.900 0.817 ventricles (0.861, 0.934) (0.782, 0.851) T1/T2/T3 0.961 0.958 Thoracic Situs Inversus (0.930, 0.987) (0.927, 0.982) 0.993 0.993 Abdominal Situs Inversus (0.976, 1.000) (0.984, 1.000) Abdominal T1/T2/T3 Non-visibility of a single stomach bubble OR abnormally 0.880 0.964 big stomach (0.780, 0.946) (0.950, 0.977) 0.911 0"
K243684,2,"Stratified analysis by geographical region, by ultrasound machine make, by gestational age, by mother’s BMI, and age, and by record type indicated that performance was consistent across subgroups, while analysis by mother’s race showed that the specificity 95% CI lower bound was slightly lower for Asian and Black mothers, possibly due to large confidence intervals and small sample size."
K243831,1,"Subgroup analyses (AUC, sensitivity, and specificity) were performed to assess the device’s performance across the following variables: age, gender, ethnicity, machine of acquisition, radiograph views, institution, position of acquisition, presence of simple or multi-nodules, size of nodules, density of nodules, and location of nodules."
K243851,1,"• Subgroup analyses (Good/Fair embryos) were conducted for several factors, including age group, BMI category, Race and Ethnicity categories, and clinical site (with CHLOE score)."
K243851,0,Analysis of Race and Ethnicity subgroups was found to not support definitive conclusions regarding performance in these groups due to the small number of participants in the non-White and Hispanic subgroups.
K243866,1,"Subgroup analysis was performed across age, gender, BMI, race/ethnicity, CA type, sites, and imaging manufacturers."
K250003,2,Ethnicity Accuracy Proportion White or Caucasian 345 68.59% Asian 108 21.47% Black or African American 29 5.77% Hispanic or Latino 10 1.99% Native American or Alaskan Native 1 0.20% Other 8 1.59% Unknown 2 0.40% Sum 503 100.00% Table 8.
K250151,1,"Summary Demographic Data: Clinical Training Data Testing Data Characteristic (N=4371) (N=1647) CA Cases Control Cases CA Cases Control Cases (N=2241) (N=2130) (N=664) (N=983) Age, years, n (%) <=50 48 (2.1%) 487 (22.9%) 23 (3.5%) 143 (14.5%) 51-60 138 (6.2%) 384 (18%) 43 (6.5%) 173 (17.6%) 61-70 454 (20.3%) 445 (20.9%) 136 (20.5%) 225 (22.9%) 71-80 989 (44.1%) 453 (21.3%) 271 (40.8%) 263 (26.8%) >80 612 (27.3%) 357 (16.8%) 186 (28%) 175 (17.8%) Not reported 0 (0%) 4 (0.2%) 5 (0.8%) 4 (0.4%) Sex, n (%) Female 382 (17%) 816 (38.3%) 151 (22.7%) 350 (35.6%) Male 1859 (83%) 1314 (61.7%) 508 (76.5%) 631 (64.2%) Not reported 0 (0%) 0 (0%) 5 (0.8%) 2 (0.2%) Race, n (%) African American 260 (11.6%) 140 (6.6%) 240 (36.1%) 315 (32%) White 1895 (84.6%) 396 (18.6%) 217 (32.7%) 397 (40.4%) Hispanic or 0"
K250151,0,"The outcomes of the subgroup analysis are provided in the following breakdown, Stratified by Age Subgroup Primary Analyses Sensitivity (%) Specificity (%) Age (95% CI) (95% CI) 78.02 88.63 < 65 years (69.51, 86.53) (85.27, 91.99) 88.7 86.58 >= 65 years (85.87, 91.54) (83.63, 89.52) Stratified by Gender Subgroup Primary Analyses Sensitivity (%) Specificity (%) Gender (95% CI) (95% CI) 85.61 87.83 Female (79.62, 91.59) (84.15, 91.5) 87.41 87.21 Male (84.3, 90.52) (84.43, 89.99) Stratified by Race Subgroup Primary Analyses Sensitivity (%) Specificity (%) Race (95% CI) (95% CI) 92.31 85.29 Asian (88.13, 96.49) (80.43, 90.15) 85.38 87.5 African American (80.62, 90.13) (83.57, 91.43) 100 Hispanic or Latino - (100, 100) 83.7 88.73 White (78.36, 89.03) (85.4, 92.06) 83.33 90.91 Others (53.51, 113."
K250507,1,"The demographic subgroup analyses were pre-specified and adjusted for age, sex, BMI, race, and Blood Pressure."
K250649,0,The findings are summarized in Table 3: Subgroup Analysis: Table 3: Sub-group Analysis Subgroup Analysis Result of Test for Heterogeneity Clinical Site Not statistically significant Sex Not statistically significant Race/Ethnicity Not statistically significant Age Group Diagnostic performance varied across age group strata (p < 0.01).
K251071,0,"OT relationship 0.925) 0.996) 0.981) 0.995) 0.955 (0.876 ; 1.000 (0.993 ; 0.955 (0.876 ; 1.000 (0.993 ; Enlarged CTR 0.985) 1.000) 0.985) 1.000) 0.945 (0.851 ; 1.000 (0.993 ; 0.945 (0.851 ; 1.000 (0.993 ; Cardiac axis deviation 0.981) 1.000) 0.981) 1.000) 0.954 (0.914 ; 0.989 (0.977 ; 0.954 (0.914 ; 0.989 (0.977 ; PV/AV size discrepancy 0.975) 0.995) 0.975) 0.995) 0.950 (0.900 ; 1.000 (0.993 ; 0.950 (0.900 ; 1.000 (0.993 ; RV/LV size discrepancy 0.975) 1.000) 0.975) 1.000) TV/MV size 0.943 (0.896 ; 1.000 (0.993 ; 0.943 (0.896 ; 1.000 (0.993 ; discrepancy 0.970) 1.000) 0.970) 1.000) Stratified analysis by gestational age, by mother’s age, BMI and race, by ultrasound machine make and model and by image quality indicated that performance was consistent across subgroups."
K251071,0,"Stratified analysis by gestational age, by mother’s age, BMI and race, by ultrasound machine make and model, image quality, reader specialty, reader country of practice and for each suspicious finding indicated that performance was consistent across subgroups."
K251293,1,Subgroup analyses were unable to be performed with gender or race demographics due to anonymization of data.
K251322,0,"Demographic distribution of verification dataset: • Gender: Male and Female • Age (18-82 years) • Ethnicity/Country: USA and Israel • BMI (18.7-42.5) • Ultrasound Console: Venue Family (Venue, Venue Go, Venue Fit) Information about clinical subgroups and confounders present in the verification dataset: • The algorithm performance was verified across a range of demographic subgroups: Gender (M/F), Age (18-82 years), Ethnicity/Country (USA and Israel), BMI (18.7-42.5) Expected performance: • At least 90% success rate in automatic caliper placement for bladder volume measurements when bladder wall is entirely visualized."
K251456,2,"Stratified analysis by geographical region, by ultrasound machine make, by gestational age, by mother’s BMI, and age, and by record type indicated that performance was consistent across subgroups, while analysis by mother’s race showed that the specificity 95% CI lower bound was slightly lower for Asian and Black mothers, possibly due to large confidence intervals and small sample size."
K251873,1,"Additionally, subgroup analyses were performed as secondary assessments to demonstrate performance of the subject device across the intended use population and demonstrated similar standalone performance trends across breast densities, ages, race/ethnicities, and lesion types and sizes."
K252204,0,"Validation Report Any selection criteria or limitations of the samples must be fully described and justified Agreement of the measure(s) with the reference measure(s) must be assessed Validation Report across the full measurement range; Data must be provided within the clinical validation study or using equivalent Validation Report datasets to demonstrate the consistency of the output and be representative of the range of data sources and data quality likely to be encountered in the intended use population and relevant use conditions in the intended use environment Labeling The type of sensor data used, including specification of compatible sensors for User Guide and data acquisition Installation Manual & User About Page A description of what the device measures and outputs to the user Use"
K252294,0,OT relationship 0.869 (0.781 ; 0.925) 0.988 (0.975 ; 0.994) 0.952 (0.884 ; 0.981) 0.982 (0.968 ; 0.990) Enlarged CTR 0.955 (0.876 ; 0.985) 0.996 (0.987 ; 0.999) 0.955 (0.876 ; 0.985) 0.996 (0.987 ; 0.999) Cardiac axis deviation 0.945 (0.851 ; 0.981) 1.000 (0.993 ; 1.000) 0.964 (0.877 ; 0.990) 1.000 (0.993 ; 1.000) PV/AV size discrepancy 0.959 (0.921 ; 0.979) 0.986 (0.972 ; 0.993) 0.959 (0.921 ; 0.979) 0.986 (0.972 ; 0.993) RV/LV size discrepancy 0.950 (0.900 ; 0.975) 1.000 (0.993 ; 1.000) 0.950 (0.900 ; 0.975) 1.000 (0.993 ; 1.000) 510(k) Summary - K252294 Page 6 of 8 Inconclusive Exams Inconclusive Exams Counted as Negative Counted as Positive Sensitivity Specificity Sensitivity Specificity (Worst-Case) (Best-Case) (Best-Case) (Worst-Case) TV/MV size discrepancy 0.950 (0.904 ; 0.974) 1.00
K252294,0,"Stratified analysis by gestational age, by mother’s age, BMI and race, by ultrasound machine make and model, image quality, reader specialty, reader country of practice and for each suspicious finding indicated that performance was consistent across subgroups."
K252922,1,"Metric Acceptance Criteria Performance Results Sensitivity ≥ 0.85 0.90 with 95% CI of 0.87 - 0.94 510(k) Summary - K252922 Page 8 of 9 False Positive Rate ≤ 5 false positive lesions 0.57 lesions per MRI with per MRI 95% CI of 0.35 - 0.80 DSC ≥ 0.70 0.86 with 95% CI of 0.83 - 0.89 HD95 ≤ 2.94 mm 1.78 mm with 95% CI of 1.02 - 2.54 MSD ≤ 0.66 mm 0.36 mm with 95% CI of 0.16 - 0.56 A subgroup analysis of the data based on site, imaging manufacturer, field strength, patient race and ethnicity, age, gender, primary cancer, and site geography was conducted."
K253269,0,"Demographic distribution of test dataset: • Ethnicity/Country: US (51.1%), China (35.8%), Phantom (9.8%), EU/Australia (3.3%) Expected performances: • The MAAP (Minimal Acceptable Algorithm Performance) of the success rate is defined with a high accuracy: At least 95% of test dataset should have a Dice score above 0.9."
K253532,0,"Race/ethnicity was not recorded; for myocardial perfusion SPECT noise-reduction performance, algorithm behaviour is driven by physical/physiological imaging characteristics (count statistics, anatomy, acquisition protocol) that are not known to be affected by patient ethnicity."
K253532,0,"Accordingly, ethnicity is not considered a relevant variable for this technical image-quality and quantitative performance evaluation."
