Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
06/06/2025,K242737,Empatica Health Monitoring Platform; EmbracePlus; Empatica Care; Care Portal,Empatica S.R.L.,Cardiovascular,MWI
06/05/2025,K251456,BrightHeart View Classifier,BrightHeart,Radiology,QIH
06/05/2025,K243667,Sonic DL,"GE Medical Systems, LLC",Radiology,LNH
06/04/2025,K251397,"Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, BlueSeal, MR 5300 and MR 7700 MR System",Philips Medical Systems Nederland B.V.,Radiology,LNH
06/04/2025,K243810,TraumaCad Neo (1.1),Brainlab Ltd.,Radiology,QIH
06/04/2025,K250749,PhysCade System,"PhysCade, Inc.",Cardiovascular,DQK
05/30/2025,K243005,AudaxCeph Cephalogram Analysis Software,Audax d.o.o.,Radiology,QIH
05/30/2025,K250236,Swoop® Portable MR Imaging® System (V2),"Hyperfine, Inc.",Radiology,LNH
05/30/2025,K243863,Opulus Lymphoma Precision,"Roche Molecular Systems, Inc.",Radiology,QIH
05/30/2025,DEN240047,Allix5,"Clairity, Inc.",Radiology,SEZ
05/30/2025,K251406,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
05/30/2025,K242830,LensHooke X3 PRO Semen Quality Analyzer; LensHooke X3 PRO SE Semen Quality Analyzer,"Bonraybio Co., LTD.",Hematology,POV
05/29/2025,K250543,Voluson Performance 16; Voluson Performance 18,GE Medical Systems Ultrasound and Primary care Diagnostics,Radiology,IYN
05/28/2025,K250367,CoLumboX,Smart Soft Healthcare AD,Radiology,QIH
05/28/2025,K250427,TAIMedImg DeepMets,"Taiwan Medical Imaging Co., Ltd.",Radiology,QKB
05/28/2025,K243378,Rapid MLS,iSchemaview Inc.,Radiology,QIH
05/27/2025,K250932,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK
05/23/2025,K243937,Accuro 3S,"Rivanna Medical, Inc.",Radiology,IYO
05/23/2025,K242594,DEEPECHO,DeepEcho,Radiology,IYN
05/23/2025,K250005,Clever One,"Ewoosoft Co., Ltd",Radiology,QIH
05/23/2025,K243989,Second Opinion® 3D,"Pearl, Inc.",Radiology,QIH
05/21/2025,K243793,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
05/21/2025,K243762,Synapse 3D Base Tools (V7.0),FUJIFILM Corporation,Radiology,QIH
05/21/2025,K243866,InVision Precision Cardiac Amyloid,InVision Medical Technology Corporation,Cardiovascular,SDJ
05/21/2025,K243122,uMR Omega,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
05/21/2025,K251276,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH
05/20/2025,K250370,SCENARIA View Phase 5.0,FUJIFILM Corporation,Radiology,JAK
05/16/2025,K243617,uCT ATLAS Astound with uWS-CT-Dual Energy Analysis; uCT ATLAS with uWS-CT-Dual Energy Analysis,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,JAK
05/16/2025,K241671,6450 Ultrasound System (MyLabE80); 6450 Ultrasound System (MyLabE85),Esaote S.p.A.,Radiology,IYN
05/16/2025,K250086,OTS Hip,Ortoma AB,Neurology,OLO
05/16/2025,K240554,InferRead Lung CT.AI,"Infervision Medical Technology Co., Ltd.",Radiology,OEB
05/14/2025,K242437,Smile Dx®,"Cube Click, Inc.",Radiology,MYN
05/14/2025,K242624,Medical Image Post-processing Software (uOmnispace.CT),"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
05/09/2025,K243812,Volta AF-Xplorer,Volta Medical,Cardiovascular,DQK
05/09/2025,K242388,LensHooke X12 PRO Semen Analysis System,"Bonraybio Co., LTD.",Hematology,POV
05/09/2025,K251110,EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN
05/09/2025,K251126,SKOUT system,Iterative Health,Gastroenterology-Urology,QNP
05/09/2025,K243230,Second Opinion® BLE,Pearl Inc.,Radiology,QIH
05/08/2025,K250226,Clarius Median Nerve AI,Clarius Mobile Health Corp.,Radiology,QIH
05/07/2025,K243684,BrightHeart View Classifier,BrightHeart,Radiology,QIH
05/05/2025,K243893,Second Opinion® Pediatric,"Pearl, Inc.",Radiology,MYN
05/02/2025,K251071,Fetal EchoScan (v1.1),BrightHeart,Radiology,POK
05/02/2025,K242583,AT-Patch (ATP-C130/ATP-C70),"ATsens Co.,Ltd.",Cardiovascular,DSH
05/01/2025,K250087,Vscan Air,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
04/30/2025,P230022,"Jewel Patch Wearable Cardioverter Defibrillator (P-WCD) (Jewel), Jewel P-WCD Firmware, Device Accessories Skin Preparati","Element Science, Inc.",Cardiovascular,MVK
04/30/2025,K250328,UltraExtend NX CUW-U001S V2.0 Ultrasound Image Analysis Program,Canon Medical Systems Corporation,Radiology,QIH
04/28/2025,K243376,uAngio AVIVA CX,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,OWB
04/24/2025,K243239,Lung AI (LAI001),Exo Inc,Radiology,MYN
04/23/2025,K250831,Annalise Enterprise,Annalise-AI,Radiology,QFM
04/21/2025,K243651,VersaViewer,GE Medical Systems SCS,Radiology,LLZ
04/17/2025,K243878,CLARUS (700),"Carl Zeiss Meditec, Inc.",Ophthalmic,QER
04/17/2025,K242129,VitalRhythm,"VitalConnect, Inc.",Cardiovascular,DQK
04/16/2025,K242500,LARALAB,LARALAB GmbH,Radiology,QIH
04/16/2025,K243853,Clarius Prostate AI,Clarius Mobile Health Corp.,Radiology,QIH
04/15/2025,K250650,SpotLight / SpotLight Duo with Low Dose Lung Cancer Screening Option,Arineta Ltd.,Radiology,JAK
04/11/2025,K250416,GBrain MRI,"Galileo CDS, Inc",Radiology,QIH
04/11/2025,K243558,Canvas Dx,"Cognoa, Inc.",Neurology,QPF
04/11/2025,K242748,Oncospace,"Oncospace, Inc.",Radiology,MUJ
04/11/2025,K242600,Second Opinion Periapical Radiolucency Contours,Pearl Inc.,Radiology,MYN
04/10/2025,K243145,syngo.CT LVO Detection,"Siemens Medical Solutions USA, Inc.",Radiology,QAS
04/10/2025,K250177,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
04/10/2025,K250754,cmAngio® (V1.6),"CureMetrix, Inc.",Radiology,QIH
04/09/2025,K243743,autoSCORE (V 2.0.0),Holberg EEG AS,Neurology,OMB
04/08/2025,K242295,BunkerHill BMD,BunkerHill Health,Radiology,KGI
04/07/2025,K243567,Tyto Insights for Rhonchi Detection,"Tyto Care , Ltd.",Anesthesiology,PHZ
04/04/2025,K242807,HeartFocus (V.1.1.1),Deski,Radiology,QJU
04/04/2025,K240398,"RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3",RaySearch Laboratories AB (PUBL),Radiology,MUJ
04/04/2025,K243769,QFR (3.0),QFR Solutions bv,Radiology,QHA
04/04/2025,K241982,DeepFoqus (DeepFoqus-Accelerate),Foqus Technologies Inc.,Radiology,QIH
04/03/2025,K242551,syngo Dynamics (Version VA41D),Siemens Healthcare GmbH,Radiology,QIH
04/02/2025,K241984,Hi-D Imaging 4TAVR,Hi-D Imaging AG,Radiology,QIH
04/01/2025,K242925,MR Contour DL,GE HealthCare,Radiology,QKB
03/31/2025,K242166,TribusConnect,TribusMed Beheer BV,Radiology,QIH
03/27/2025,K242745,AI-Rad Companion Organs RT,Siemens Healthcare GmbH,Radiology,QKB
03/27/2025,K243038,Salix Central,Artrya Limited,Radiology,QIH
03/27/2025,K242919,V5med Lung AI,V5med Inc.,Radiology,OEB
03/26/2025,K243891,EarliPoint System,EarliTec Diagnostics,Neurology,QPF
03/26/2025,K243831,Rayvolve LN,AZmed,Radiology,MYN
03/21/2025,K243808,Rayvolve PTX-PE,AZmed,Radiology,QFM
03/21/2025,K250186,GoLIF! Lumbar Interbody Fusion System,"GetSet Surgical, SA",Orthopedic,MAX
03/20/2025,K241961,Vent Creativity Knee v1.0 (Hermes),Vent Creativity,Radiology,QIH
03/20/2025,K243292,brAIn Shoulder Positioning,Avatar Medical,Radiology,LLZ
03/19/2025,K243689,AVIEW,"Coreline Soft Co., Ltd.",Radiology,QIH
03/19/2025,K250042,PeekMed web,"Peek Health, S.A.",Radiology,QIH
